id,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10
28971,6.234,10.985,0.922,0.404,0.41,-0.109,177.262,13358.827,177.749,0
28972,6.234,10.985,0.922,0.404,0.41,-0.109,177.262,13358.827,177.749,0
28973,6.234,10.985,0.922,0.404,0.41,-0.109,177.262,13358.827,177.749,0
28974,6.226,10.994,0.919,0.4,0.412,-0.108,177.476,13392.508,177.447,0
28975,6.226,10.994,0.919,0.4,0.412,-0.108,177.476,13392.508,177.447,0
28976,6.226,10.994,0.919,0.4,0.412,-0.108,177.476,13392.508,177.447,0
28977,6.222,10.996,0.91,0.404,0.415,-0.068,176.845,13409.098,177.582,0
28978,6.222,10.996,0.91,0.404,0.415,-0.068,176.845,13409.098,177.582,0
28979,6.222,10.996,0.91,0.404,0.415,-0.068,176.845,13409.098,177.582,0
28980,6.241,10.986,0.911,0.403,0.41,-0.067,175.693,13435.321,178.057,0
28981,6.241,10.986,0.911,0.403,0.41,-0.067,175.693,13435.321,178.057,0
28982,6.241,10.986,0.911,0.403,0.41,-0.067,175.693,13435.321,178.057,0
28983,6.278,10.962,0.913,0.397,0.415,-0.062,177.885,13403.265,178.469,0
28984,6.278,10.962,0.913,0.397,0.415,-0.062,177.885,13403.265,178.469,0
28985,6.278,10.962,0.913,0.397,0.415,-0.062,177.885,13403.265,178.469,1
28986,6.337,10.929,0.924,0.401,0.412,-0.084,177.332,13415.049,179.924,1
28987,6.337,10.929,0.924,0.401,0.412,-0.084,177.332,13415.049,179.924,1
28988,6.337,10.929,0.924,0.401,0.412,-0.084,177.332,13415.049,179.924,1
28989,6.392,10.896,0.933,0.399,0.412,-0.088,179.883,13438.67,180.717,1
28990,6.392,10.896,0.933,0.399,0.412,-0.088,179.883,13438.67,180.717,1
28991,6.392,10.896,0.933,0.399,0.412,-0.088,179.883,13438.67,180.717,1
28992,6.426,10.868,0.94,0.397,0.41,-0.092,177.04,13471.833,181.44,1
28993,6.426,10.868,0.94,0.397,0.41,-0.092,177.04,13471.833,181.44,1
28994,6.426,10.868,0.94,0.397,0.41,-0.092,177.04,13471.833,181.44,0
28995,6.443,10.858,0.946,0.395,0.41,-0.092,177.541,13455.843,182.455,0
28996,6.443,10.858,0.946,0.395,0.41,-0.092,177.541,13455.843,182.455,0
28997,6.443,10.858,0.946,0.395,0.41,-0.092,177.541,13455.843,182.455,0
28998,6.441,10.856,0.946,0.393,0.408,-0.102,180.09,13417.579,183.895,0
28999,6.441,10.856,0.946,0.393,0.408,-0.102,180.09,13417.579,183.895,0
29000,6.441,10.856,0.946,0.393,0.408,-0.102,180.09,13417.579,183.895,0
29001,6.428,10.855,0.942,0.394,0.41,-0.102,180.074,13398.229,184.155,0
29002,6.428,10.855,0.942,0.394,0.41,-0.102,180.074,13398.229,184.155,0
29003,6.428,10.855,0.942,0.394,0.41,-0.102,180.074,13398.229,184.155,0
29004,6.413,10.857,0.941,0.397,0.405,-0.079,175.604,13371.447,184.14,0
29005,6.413,10.857,0.941,0.397,0.405,-0.079,175.604,13371.447,184.14,0
29006,6.413,10.857,0.941,0.397,0.405,-0.079,175.604,13371.447,184.14,0
29007,6.409,10.851,0.941,0.398,0.4,-0.083,179.512,13295.45,184.694,0
29008,6.409,10.851,0.941,0.398,0.4,-0.083,179.512,13295.45,184.694,0
29009,6.409,10.851,0.941,0.398,0.4,-0.083,179.512,13295.45,184.694,0
29010,6.418,10.838,0.946,0.401,0.405,-0.059,180.125,13160.662,184.708,0
29011,6.418,10.838,0.946,0.401,0.405,-0.059,180.125,13160.662,184.708,0
29012,6.418,10.838,0.946,0.401,0.405,-0.059,180.125,13160.662,184.708,1
29013,6.446,10.818,0.952,0.396,0.402,-0.082,175.374,13076.69,184.418,1
29014,6.446,10.818,0.952,0.396,0.402,-0.082,175.374,13076.69,184.418,1
29015,6.446,10.818,0.952,0.396,0.402,-0.082,175.374,13076.69,184.418,1
29016,6.479,10.803,0.96,0.395,0.4,-0.092,178.734,12952.636,184.918,1
29017,6.479,10.803,0.96,0.395,0.4,-0.092,178.734,12952.636,184.918,1
29018,6.479,10.803,0.96,0.395,0.4,-0.092,178.734,12952.636,184.918,1
29019,6.502,10.789,0.962,0.397,0.4,-0.098,180.321,12902.904,185.48,1
29020,6.502,10.789,0.962,0.397,0.4,-0.098,180.321,12902.904,185.48,1
29021,6.502,10.789,0.962,0.397,0.4,-0.098,180.321,12902.904,185.48,0
29022,6.511,10.782,0.96,0.399,0.4,-0.101,180.538,12840.002,187.627,0
29023,6.511,10.782,0.96,0.399,0.4,-0.101,180.538,12840.002,187.627,0
29024,6.511,10.782,0.96,0.399,0.4,-0.101,180.538,12840.002,187.627,0
29025,6.498,10.792,0.956,0.401,0.4,-0.11,175.657,12857.447,187.889,0
29026,6.498,10.792,0.956,0.401,0.4,-0.11,175.657,12857.447,187.889,0
29027,6.498,10.792,0.956,0.401,0.4,-0.11,175.657,12857.447,187.889,0
29028,6.48,10.801,0.95,0.399,0.4,-0.088,177.208,12859.752,187.534,0
29029,6.48,10.801,0.95,0.399,0.4,-0.088,177.208,12859.752,187.534,0
29030,6.48,10.801,0.95,0.399,0.4,-0.088,177.208,12859.752,187.534,0
29031,6.462,10.809,0.941,0.405,0.4,-0.062,179.552,12826.099,188.923,0
29032,6.462,10.809,0.941,0.405,0.4,-0.062,179.552,12826.099,188.923,0
29033,6.462,10.809,0.941,0.405,0.4,-0.062,179.552,12826.099,188.923,0
29034,6.457,10.809,0.939,0.398,0.4,-0.071,180.026,12812.706,189.857,0
29035,6.457,10.809,0.939,0.398,0.4,-0.071,180.026,12812.706,189.857,0
29036,6.457,10.809,0.939,0.398,0.4,-0.071,180.026,12812.706,189.857,0
29037,6.478,10.803,0.937,0.398,0.4,-0.044,178.792,12823.611,190.03,0
29038,6.478,10.803,0.937,0.398,0.4,-0.044,178.792,12823.611,190.03,0
29039,6.478,10.803,0.937,0.398,0.4,-0.044,178.792,12823.611,190.03,0
29040,6.508,10.784,0.943,0.396,0.4,-0.068,176.652,12919.96,190.078,0
29041,6.508,10.784,0.943,0.396,0.4,-0.068,176.652,12919.96,190.078,0
29042,6.508,10.784,0.943,0.396,0.4,-0.068,176.652,12919.96,190.078,0
29043,6.55,10.752,0.948,0.396,0.4,-0.076,178.881,12946.587,188.832,1
29044,6.55,10.752,0.948,0.396,0.4,-0.076,178.881,12946.587,188.832,1
29045,6.55,10.752,0.948,0.396,0.4,-0.076,178.881,12946.587,188.832,1
29046,6.576,10.722,0.95,0.394,0.4,-0.078,175.153,13060.143,188.489,1
29047,6.576,10.722,0.95,0.394,0.4,-0.078,175.153,13060.143,188.489,1
29048,6.576,10.722,0.95,0.394,0.4,-0.078,175.153,13060.143,188.489,1
29049,6.593,10.712,0.95,0.397,0.4,-0.082,172.897,13118.495,189.309,1
29050,6.593,10.712,0.95,0.397,0.4,-0.082,172.897,13118.495,189.309,1
29051,6.593,10.712,0.95,0.397,0.4,-0.082,172.897,13118.495,189.309,1
29052,6.59,10.708,0.948,0.398,0.4,-0.087,174.056,13176.737,189.847,0
29053,6.59,10.708,0.948,0.398,0.4,-0.087,174.056,13176.737,189.847,0
29054,6.59,10.708,0.948,0.398,0.4,-0.087,174.056,13176.737,189.847,0
29055,6.572,10.721,0.94,0.395,0.4,-0.093,174.4,13202.003,191.01,0
29056,6.572,10.721,0.94,0.395,0.4,-0.093,174.4,13202.003,191.01,0
29057,6.572,10.721,0.94,0.395,0.4,-0.093,174.4,13202.003,191.01,0
29058,6.532,10.728,0.938,0.396,0.4,-0.092,168.649,13221.369,192.097,0
29059,6.532,10.728,0.938,0.396,0.4,-0.092,168.649,13221.369,192.097,0
29060,6.532,10.728,0.938,0.396,0.4,-0.092,168.649,13221.369,192.097,0
29061,6.498,10.745,0.928,0.405,0.405,-0.089,169.077,13243.824,192.99,0
29062,6.498,10.745,0.928,0.405,0.405,-0.089,169.077,13243.824,192.99,0
29063,6.498,10.745,0.928,0.405,0.405,-0.089,169.077,13243.824,192.99,0
29064,6.466,10.762,0.922,0.398,0.405,-0.061,171.903,13258.327,193.554,0
29065,6.466,10.762,0.922,0.398,0.405,-0.061,171.903,13258.327,193.554,0
29066,6.466,10.762,0.922,0.398,0.405,-0.061,171.903,13258.327,193.554,0
29067,6.447,10.775,0.92,0.398,0.405,-0.07,171.671,13256.246,194.905,0
29068,6.447,10.775,0.92,0.398,0.405,-0.07,171.671,13256.246,194.905,0
29069,6.447,10.775,0.92,0.398,0.405,-0.07,171.671,13256.246,194.905,0
29070,6.459,10.778,0.927,0.403,0.405,-0.076,170.74,13236.748,195.631,0
29071,6.459,10.778,0.927,0.403,0.405,-0.076,170.74,13236.748,195.631,0
29072,6.459,10.778,0.927,0.403,0.405,-0.076,170.74,13236.748,195.631,0
29073,6.487,10.766,0.932,0.397,0.41,-0.078,172.987,13177.202,195.263,1
29074,6.487,10.766,0.932,0.397,0.41,-0.078,172.987,13177.202,195.263,1
29075,6.487,10.766,0.932,0.397,0.41,-0.078,172.987,13177.202,195.263,1
29076,6.522,10.751,0.941,0.401,0.41,-0.093,173.304,13064.929,194.128,1
29077,6.522,10.751,0.941,0.401,0.41,-0.093,173.304,13064.929,194.128,1
29078,6.522,10.751,0.941,0.401,0.41,-0.093,173.304,13064.929,194.128,1
29079,6.548,10.737,0.947,0.392,0.402,-0.103,169.839,12969.975,193.474,1
29080,6.548,10.737,0.947,0.392,0.402,-0.103,169.839,12969.975,193.474,1
29081,6.548,10.737,0.947,0.392,0.402,-0.103,169.839,12969.975,193.474,1
29082,6.558,10.731,0.95,0.4,0.408,-0.104,171.291,12926.79,193.112,0
29083,6.558,10.731,0.95,0.4,0.408,-0.104,171.291,12926.79,193.112,0
29084,6.558,10.731,0.95,0.4,0.408,-0.104,171.291,12926.79,193.112,0
29085,6.549,10.734,0.949,0.397,0.41,-0.1,170.381,12860.101,192.908,0
29086,6.549,10.734,0.949,0.397,0.41,-0.1,170.381,12860.101,192.908,0
29087,6.549,10.734,0.949,0.397,0.41,-0.1,170.381,12860.101,192.908,0
29088,6.528,10.746,0.942,0.397,0.41,-0.102,170.885,12800.195,191.921,0
29089,6.528,10.746,0.942,0.397,0.41,-0.102,170.885,12800.195,191.921,0
29090,6.528,10.746,0.942,0.397,0.41,-0.102,170.885,12800.195,191.921,0
29091,6.502,10.762,0.94,0.392,0.408,-0.107,169.666,12787.105,191.141,0
29092,6.502,10.762,0.94,0.392,0.408,-0.107,169.666,12787.105,191.141,0
29093,6.502,10.762,0.94,0.392,0.408,-0.107,169.666,12787.105,191.141,0
29094,6.488,10.769,0.94,0.399,0.41,-0.056,171.798,12758.454,190.59,0
29095,6.488,10.769,0.94,0.399,0.41,-0.056,171.798,12758.454,190.59,0
29096,6.488,10.769,0.94,0.399,0.41,-0.056,171.798,12758.454,190.59,0
29097,6.499,10.758,0.942,0.399,0.402,-0.062,171.179,12734.017,191.466,0
29098,6.499,10.758,0.942,0.399,0.402,-0.062,171.179,12734.017,191.466,0
29099,6.499,10.758,0.942,0.399,0.402,-0.062,171.179,12734.017,191.466,0
29100,6.548,10.731,0.958,0.392,0.4,-0.08,170.732,12711.21,191.718,0
29101,6.548,10.731,0.958,0.392,0.4,-0.08,170.732,12711.21,191.718,0
29102,6.548,10.731,0.958,0.392,0.4,-0.08,170.732,12711.21,191.718,0
29103,6.613,10.697,0.968,0.397,0.402,-0.088,171.094,12832.27,191.692,0
29104,6.613,10.697,0.968,0.397,0.402,-0.088,171.094,12832.27,191.692,0
29105,6.613,10.697,0.968,0.397,0.402,-0.088,171.094,12832.27,191.692,0
29106,6.672,10.658,0.98,0.404,0.402,-0.102,171.02,12955.45,191.706,1
29107,6.672,10.658,0.98,0.404,0.402,-0.102,171.02,12955.45,191.706,1
29108,6.672,10.658,0.98,0.404,0.402,-0.102,171.02,12955.45,191.706,1
29109,6.696,10.638,0.985,0.403,0.402,-0.104,174.097,13046.164,192.191,1
29110,6.696,10.638,0.985,0.403,0.402,-0.104,174.097,13046.164,192.191,1
29111,6.696,10.638,0.985,0.403,0.402,-0.104,174.097,13046.164,192.191,1
29112,6.692,10.636,0.982,0.396,0.4,-0.088,168.553,13079.116,191.798,1
29113,6.692,10.636,0.982,0.396,0.4,-0.088,168.553,13079.116,191.798,1
29114,6.692,10.636,0.982,0.396,0.4,-0.088,168.553,13079.116,191.798,1
29115,6.672,10.651,0.974,0.397,0.4,-0.082,169.82,13080.059,192.58,0
29116,6.672,10.651,0.974,0.397,0.4,-0.082,169.82,13080.059,192.58,0
29117,6.672,10.651,0.974,0.397,0.4,-0.082,169.82,13080.059,192.58,0
29118,6.641,10.671,0.967,0.398,0.4,-0.084,170.445,13082.839,192.211,0
29119,6.641,10.671,0.967,0.398,0.4,-0.084,170.445,13082.839,192.211,0
29120,6.641,10.671,0.967,0.398,0.4,-0.084,170.445,13082.839,192.211,0
29121,6.615,10.687,0.96,0.386,0.4,-0.092,171.768,13086.692,192.963,0
29122,6.615,10.687,0.96,0.386,0.4,-0.092,171.768,13086.692,192.963,0
29123,6.615,10.687,0.96,0.386,0.4,-0.092,171.768,13086.692,192.963,0
29124,6.59,10.702,0.96,0.39,0.4,-0.088,168.691,13099.088,193.006,0
